Age,EdLevel,YearsCode,Country,Currency,LanguageHaveWorkedWith,Industry,OrgSize
25-34,Bachelor’s degree,10,Denmark,DKK	Danish krone,C#;JavaScript;Python,Fintech,"5,000 to 9,999 employees"
35-44,Bachelor’s degree,15,Switzerland,CHF	Swiss franc,C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;Visual Basic (.Net),"Internet, Telecomm or Information Services",20 to 99 employees
45-54,Master’s degree,24,Germany,EUR European Euro,Bash/Shell (all shells);Java;JavaScript;Kotlin;SQL,"Internet, Telecomm or Information Services",100 to 499 employees
18-24,Associate degree,4,Turkey,TRY	Turkish lira,Bash/Shell (all shells);C;C#;C++;Dart;Java;JavaScript;Kotlin;Perl;PowerShell;Python;SQL;Swift;Visual Basic (.Net),Software Development,2 to 9 employees
35-44,Master’s degree,14,Denmark,DKK	Danish krone,Bash/Shell (all shells);C#;Java;JavaScript;SQL,Fintech,20 to 99 employees
18-24,Bachelor’s degree,4,Germany,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,Software Development,10 to 19 employees
25-34,Master’s degree,12,France,EUR European Euro,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;OCaml;PowerShell;Python,"Transportation, or Supply Chain",20 to 99 employees
25-34,Master’s degree,19,Ukraine,UAH	Ukrainian hryvnia,Bash/Shell (all shells);C++,"Internet, Telecomm or Information Services",2 to 9 employees
45-54,Master’s degree,35,Sweden,SEK	Swedish krona,Bash/Shell (all shells);C;C++;Groovy;HTML/CSS;Java;JavaScript;SQL;TypeScript,Higher Education,"1,000 to 4,999 employees"
25-34,Bachelor’s degree,10,India,INR	Indian rupee,PowerShell;Python;SQL,Software Development,20 to 99 employees
65+,Master’s degree,45,UK and Northern Ireland,GBP	Pound sterling,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,Higher Education,"1,000 to 4,999 employees"
35-44,Bachelor’s degree,19,USA,USD	United States dollar,Bash/Shell (all shells);C#;Kotlin;TypeScript,Banking/Financial Services,"1,000 to 4,999 employees"
18-24,Bachelor’s degree,5,Ukraine,UAH	Ukrainian hryvnia,HTML/CSS;JavaScript;PHP;SQL,Healthcare,"1,000 to 4,999 employees"
55-64,Secondary school,38,Germany,EUR European Euro,Bash/Shell (all shells);Java;Kotlin;Rust;Scala,Manufacturing,100 to 499 employees
25-34,Master’s degree,8,France,EUR European Euro,HTML/CSS;JavaScript;PHP;Python;TypeScript,Software Development,100 to 499 employees
25-34,Attended college but no degree,15,Austria,EUR European Euro,Bash/Shell (all shells);Groovy;HTML/CSS;JavaScript;TypeScript,Retail and Consumer Services,20 to 99 employees
45-54,Professional degree,30,Ukraine,UAH	Ukrainian hryvnia,Assembly;C;C#;C++;Delphi;GDScript;Java;JavaScript;MATLAB;Objective-C;Perl;PHP;PowerShell;Python;SQL;TypeScript;VBA,Software Development,20 to 99 employees
35-44,Master’s degree,24,Poland,USD	United States dollar,Bash/Shell (all shells);Python;SQL,Software Development,20 to 99 employees
25-34,Master’s degree,12,Germany,EUR European Euro,Bash/Shell (all shells);C;C++;Go;JavaScript;Python;Rust;SQL,"Internet, Telecomm or Information Services",20 to 99 employees
35-44,Bachelor’s degree,22,Netherlands,EUR European Euro,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Objective-C;PowerShell;SQL;TypeScript,Software Development,10 to 19 employees
25-34,Master’s degree,4,USA,USD	United States dollar,Bash/Shell (all shells);Java;Python;SQL,Fintech,"1,000 to 4,999 employees"
25-34,Master’s degree,4,Ukraine,UAH	Ukrainian hryvnia,HTML/CSS;JavaScript;TypeScript,Software Development,2 to 9 employees
18-24,Attended college but no degree,3,Ukraine,UAH	Ukrainian hryvnia,Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Software Development,2 to 9 employees
Under 18,Attended college but no degree,4,Pakistan,PKR	Pakistani rupee,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Software Development,10 to 19 employees
25-34,Master’s degree,14,"Iran, Islamic Republic of...",IRR	Iranian rial,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;PowerShell;Python;Rust;SQL;TypeScript;Visual Basic (.Net),"Internet, Telecomm or Information Services",20 to 99 employees
25-34,Bachelor’s degree,12,Ireland,EUR European Euro,Bash/Shell (all shells);JavaScript;Ruby;TypeScript,Software Development,100 to 499 employees
25-34,Associate degree,20,USA,USD	United States dollar,C#;JavaScript;Python;TypeScript,Software Development,100 to 499 employees
18-24,Bachelor’s degree,6,Hungary,HUF	Hungarian forint,Apex;C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Manufacturing,100 to 499 employees
25-34,Master’s degree,9,Ukraine,EUR European Euro,HTML/CSS;JavaScript;TypeScript,Software Development,20 to 99 employees
18-24,Bachelor’s degree,3,India,INR	Indian rupee,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Solidity;SQL;TypeScript,Software Development,2 to 9 employees
35-44,Master’s degree,16,Republic of Moldova,MDL	Moldovan leu,Apex;JavaScript;Kotlin;Python,Banking/Financial Services,100 to 499 employees
35-44,Master’s degree,25,Ireland,EUR European Euro,C;C#;C++;Java;Python;Scala;SQL,Healthcare,"10,000 or more employees"
25-34,Master’s degree,8,France,EUR European Euro,Java;Scala,Software Development,20 to 99 employees
25-34,Master’s degree,8,Denmark,DKK	Danish krone,Bash/Shell (all shells);Python;Rust;TypeScript,Software Development,2 to 9 employees
25-34,Bachelor’s degree,9,Spain,EUR European Euro,Bash/Shell (all shells);C++;Python;Scala;SQL,"Internet, Telecomm or Information Services",20 to 99 employees
35-44,Bachelor’s degree,14,Ukraine,UAH	Ukrainian hryvnia,HTML/CSS;JavaScript;TypeScript,Fintech,"5,000 to 9,999 employees"
25-34,Bachelor’s degree,10,Hungary,HUF	Hungarian forint,Java;JavaScript;MATLAB;Python;R;SQL;TypeScript,Computer Systems Design and Services,100 to 499 employees
25-34,Master’s degree,14,Ukraine,UAH	Ukrainian hryvnia,C++;Python,Software Development,"1,000 to 4,999 employees"
35-44,Master’s degree,7,Turkey,USD	United States dollar,C#;Dart;HTML/CSS;JavaScript;SQL;Swift;TypeScript,Software Development,2 to 9 employees
35-44,Master’s degree,30,Hungary,HUF	Hungarian forint,C#;PowerShell,Software Development,"1,000 to 4,999 employees"
35-44,Bachelor’s degree,14,India,INR	Indian rupee,HTML/CSS,Software Development,"10,000 or more employees"
18-24,Bachelor’s degree,5,Malawi,MWK	Malawian kwacha,Dart;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Computer Systems Design and Services,20 to 99 employees
25-34,Master’s degree,10,Denmark,DKK	Danish krone,Kotlin,Software Development,20 to 99 employees
25-34,Master’s degree,10,France,EUR European Euro,C++;Java,Software Development,"10,000 or more employees"
35-44,Master’s degree,15,UK and Northern Ireland,GBP	Pound sterling,C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),Higher Education,"1,000 to 4,999 employees"
18-24,Bachelor’s degree,6,India,INR	Indian rupee,Bash/Shell (all shells);C#;C++;Go;Groovy;HTML/CSS;JavaScript;Lisp;Python;Rust;SQL;TypeScript,Software Development,100 to 499 employees
35-44,Master’s degree,15,Austria,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Computer Systems Design and Services,100 to 499 employees
25-34,Attended college but no degree,8,South Africa,ZAR	South African rand,Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Lua;Python;SQL,Software Development,10 to 19 employees
25-34,Bachelor’s degree,17,France,EUR European Euro,C#;C++;Go;JavaScript;PHP;Python;Rust;SQL;TypeScript,Software Development,100 to 499 employees
45-54,Bachelor’s degree,40,USA,USD	United States dollar,C#,Healthcare,"5,000 to 9,999 employees"
18-24,Attended college but no degree,7,Bangladesh,BDT	Bangladeshi taka,Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Software Development,20 to 99 employees
25-34,Master’s degree,15,France,EUR European Euro,C#;HTML/CSS;JavaScript;PowerShell;Python;R,Energy,500 to 999 employees
25-34,Master’s degree,13,France,EUR European Euro,Bash/Shell (all shells);Java;JavaScript;Python;SQL,Media & Advertising Services,100 to 499 employees
35-44,Master’s degree,30,Ukraine,USD	United States dollar,Bash/Shell (all shells);C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Lisp;Lua;MATLAB;Python;SQL,Software Development,"10,000 or more employees"
25-34,Secondary school,12,Netherlands,EUR European Euro,GDScript;HTML/CSS;JavaScript;SQL;TypeScript,Software Development,2 to 9 employees
45-54,Bachelor’s degree,14,"Venezuela, Bolivarian Republic of...",USD	United States dollar,C;C#;HTML/CSS;JavaScript;SQL;VBA;Visual Basic (.Net),Software Development,100 to 499 employees
25-34,Bachelor’s degree,6,Austria,EUR European Euro,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Rust,Computer Systems Design and Services,100 to 499 employees
25-34,Bachelor’s degree,8,Ukraine,USD	United States dollar,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Software Development,100 to 499 employees
18-24,Secondary school,7,USA,USD	United States dollar,C#;Python,Manufacturing,10 to 19 employees
25-34,Bachelor’s degree,3,India,INR	Indian rupee,HTML/CSS;JavaScript;Python;SQL;TypeScript,Healthcare,2 to 9 employees
25-34,Primary/elementary school,10,Israel,ILS	Israeli new shekel,Python,Fintech,500 to 999 employees
25-34,Master’s degree,15,France,EUR European Euro,JavaScript;PHP;TypeScript,Software Development,20 to 99 employees
25-34,Attended college but no degree,14,UK and Northern Ireland,GBP	Pound sterling,C#;JavaScript,"Internet, Telecomm or Information Services",100 to 499 employees
25-34,Master’s degree,9,Japan,JPY	Japanese yen,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Banking/Financial Services,20 to 99 employees
45-54,Bachelor’s degree,28,USA,USD	United States dollar,Java;JavaScript;Kotlin;Python;SQL;TypeScript,Healthcare,10 to 19 employees
35-44,Master’s degree,24,United Arab Emirates,AED United Arab Emirates dirham,Apex;Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Kotlin;Python;SQL;TypeScript,Software Development,"1,000 to 4,999 employees"
25-34,Master’s degree,10,Ukraine,UAH	Ukrainian hryvnia,JavaScript;TypeScript,Software Development,100 to 499 employees
45-54,Attended college but no degree,25,Australia,AUD	Australian dollar,C#;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;VBA;Visual Basic (.Net),Banking/Financial Services,500 to 999 employees
35-44,Master’s degree,22,Germany,EUR European Euro,Java;Python,Energy,20 to 99 employees
35-44,Bachelor’s degree,19,Austria,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;MicroPython;Ruby;SQL,Higher Education,"1,000 to 4,999 employees"
35-44,Bachelor’s degree,10,Canada,CAD	Canadian dollar,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Energy,20 to 99 employees
35-44,Master’s degree,25,Brazil,BRL	Brazilian real,HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Software Development,"5,000 to 9,999 employees"
25-34,Master’s degree,15,Austria,EUR European Euro,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Perl;Python;TypeScript,Computer Systems Design and Services,"10,000 or more employees"
25-34,Master’s degree,18,Sweden,SEK	Swedish krona,HTML/CSS;Python;R;SQL,Higher Education,"5,000 to 9,999 employees"
25-34,Master’s degree,7,France,EUR European Euro,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Software Development,"1,000 to 4,999 employees"
35-44,Bachelor’s degree,7,Georgia,GEL	Georgian lari,HTML/CSS;Java;JavaScript;TypeScript,Software Development,20 to 99 employees
25-34,Primary/elementary school,10,Kenya,KES	Kenyan shilling,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;VBA;Visual Basic (.Net),"Internet, Telecomm or Information Services","5,000 to 9,999 employees"
35-44,Attended college but no degree,15,USA,USD	United States dollar,C#;HTML/CSS;JavaScript;Python;Rust;SQL,Retail and Consumer Services,100 to 499 employees
18-24,Secondary school,8,USA,USD	United States dollar,C++;HTML/CSS;JavaScript;Python;Rust;TypeScript,Software Development,10 to 19 employees
18-24,Bachelor’s degree,4,Ukraine,UAH	Ukrainian hryvnia,Assembly;Dart;Elixir;Erlang;HTML/CSS;JavaScript;MATLAB;PHP;Rust;SQL;TypeScript,Healthcare,"1,000 to 4,999 employees"
25-34,Attended college but no degree,3,Brazil,BRL	Brazilian real,Bash/Shell (all shells);JavaScript;Python;TypeScript,Software Development,2 to 9 employees
35-44,Master’s degree,9,USA,USD	United States dollar,C#;HTML/CSS;JavaScript;SQL,Software Development,100 to 499 employees
35-44,Secondary school,12,Italy,EUR European Euro,C;C#;C++;Dart;Groovy;Java;JavaScript;Kotlin;Lua;MicroPython;Python;SQL;TypeScript,Software Development,2 to 9 employees
25-34,Bachelor’s degree,18,Egypt,GBP	Pound sterling,Elixir;HTML/CSS;JavaScript;PHP;SQL;TypeScript;Zig,Software Development,2 to 9 employees
25-34,Bachelor’s degree,7,India,INR	Indian rupee,Go;JavaScript,Software Development,100 to 499 employees
25-34,Bachelor’s degree,10,Ukraine,UAH	Ukrainian hryvnia,Dart;HTML/CSS;JavaScript;Kotlin;Swift,Healthcare,100 to 499 employees
25-34,Bachelor’s degree,12,Switzerland,CHF	Swiss franc,Assembly;C;C++;Python,Manufacturing,"5,000 to 9,999 employees"
25-34,Bachelor’s degree,12,USA,USD	United States dollar,C#;Dart;HTML/CSS;JavaScript;TypeScript,Software Development,100 to 499 employees
25-34,Primary/elementary school,10,USA,USD	United States dollar,Assembly;C;Python;VBA,Manufacturing,100 to 499 employees
35-44,Attended college but no degree,15,Serbia,RSD	Serbian dinar,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Media & Advertising Services,10 to 19 employees
55-64,Master’s degree,25,Sweden,SEK	Swedish krona,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;Python;SQL,"Transportation, or Supply Chain","5,000 to 9,999 employees"
25-34,Attended college but no degree,6,Israel,ILS	Israeli new shekel,Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;Python;SQL;TypeScript,Software Development,100 to 499 employees
25-34,Attended college but no degree,3,Poland,PLN	Polish zloty,Bash/Shell (all shells);C;C++;Java;Python,Computer Systems Design and Services,100 to 499 employees
35-44,Bachelor’s degree,4,USA,USD	United States dollar,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Government,"5,000 to 9,999 employees"
25-34,Bachelor’s degree,13,Dominican Republic,USD	United States dollar,Bash/Shell (all shells);C;C#;C++;Dart;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;MicroPython;Objective-C;PowerShell;Python;R;SQL;Swift;TypeScript;VBA;Visual Basic (.Net),Fintech,"1,000 to 4,999 employees"
18-24,Master’s degree,2,UK and Northern Ireland,GBP	Pound sterling,Go;JavaScript;PowerShell;Rust;SQL,Fintech,2 to 9 employees
35-44,Master’s degree,10,Germany,EUR European Euro,Java;JavaScript;SQL,Energy,500 to 999 employees
45-54,Master’s degree,25,Brazil,BRL	Brazilian real,Assembly;C;C++;Cobol;Java;JavaScript;Perl;PHP;SQL,Computer Systems Design and Services,10 to 19 employees
45-54,Master’s degree,30,Russian Federation,RUB	Russian ruble,C;C++;Go;Java;Kotlin;Lisp;Python;SQL,Software Development,500 to 999 employees
18-24,Bachelor’s degree,4,Pakistan,PKR	Pakistani rupee,Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;TypeScript;VBA,Software Development,10 to 19 employees
25-34,Master’s degree,5,Ukraine,UAH	Ukrainian hryvnia,HTML/CSS;JavaScript;TypeScript,Government,100 to 499 employees
35-44,Bachelor’s degree,7,USA,USD	United States dollar,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Software Development,"5,000 to 9,999 employees"
35-44,Bachelor’s degree,15,India,INR	Indian rupee,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Software Development,"1,000 to 4,999 employees"
35-44,Bachelor’s degree,18,USA,USD	United States dollar,Java;JavaScript;Objective-C;Python;Swift,Software Development,"10,000 or more employees"
35-44,Bachelor’s degree,22,USA,USD	United States dollar,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Fintech,"1,000 to 4,999 employees"
18-24,Secondary school,4,Latvia,EUR European Euro,C++;Java;Python;SQL,Software Development,"10,000 or more employees"
35-44,Master’s degree,14,Lithuania,EUR European Euro,C#;Java,Software Development,20 to 99 employees
45-54,Master’s degree,20,Ecuador,USD	United States dollar,Java;SQL;VBA,Banking/Financial Services,"1,000 to 4,999 employees"
18-24,Master’s degree,10,Germany,EUR European Euro,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;MicroPython,Manufacturing,2 to 9 employees
25-34,Master’s degree,11,Ukraine,UAH	Ukrainian hryvnia,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Software Development,20 to 99 employees
18-24,Master’s degree,10,Ukraine,USD	United States dollar,Bash/Shell (all shells);Go;HTML/CSS;SQL;Swift,Software Development,20 to 99 employees
25-34,Master’s degree,11,Ukraine,USD	United States dollar,Bash/Shell (all shells);C++;JavaScript;PowerShell;Python,Software Development,"10,000 or more employees"
35-44,Professional degree,21,Sweden,SEK	Swedish krona,C#;JavaScript;MATLAB,Healthcare,100 to 499 employees
35-44,Bachelor’s degree,12,Ukraine,UAH	Ukrainian hryvnia,Groovy;Python;SQL,Computer Systems Design and Services,100 to 499 employees
18-24,Bachelor’s degree,5,India,INR	Indian rupee,HTML/CSS;Java;JavaScript;Python,Software Development,10 to 19 employees
18-24,Master’s degree,5,Spain,EUR European Euro,Python;SQL;VBA,"Internet, Telecomm or Information Services","10,000 or more employees"
25-34,Attended college but no degree,6,Kenya,KES	Kenyan shilling,C#;HTML/CSS;JavaScript;PHP;Python;SQL,Fintech,20 to 99 employees
25-34,Master’s degree,7,Ukraine,UAH	Ukrainian hryvnia,JavaScript;SQL;TypeScript,Software Development,100 to 499 employees
25-34,Attended college but no degree,2,India,INR	Indian rupee,JavaScript;Python;TypeScript,Software Development,20 to 99 employees
25-34,Bachelor’s degree,10,USA,USD	United States dollar,Go;Lua;Rust;SQL;TypeScript,Software Development,100 to 499 employees
25-34,Bachelor’s degree,14,USA,USD	United States dollar,GDScript;HTML/CSS;JavaScript;Rust;SQL;TypeScript,Software Development,"5,000 to 9,999 employees"
45-54,Bachelor’s degree,40,USA,USD	United States dollar,C;C#;C++,Software Development,100 to 499 employees
18-24,Secondary school,8,Switzerland,CHF	Swiss franc,Assembly;Bash/Shell (all shells);C#;F#;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Rust;Solidity;SQL;TypeScript,Software Development,10 to 19 employees
25-34,Attended college but no degree,5,UK and Northern Ireland,GBP	Pound sterling,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL,Retail and Consumer Services,20 to 99 employees
18-24,Attended college but no degree,6,Bulgaria,BGN	Bulgarian lev,HTML/CSS;JavaScript;SQL;TypeScript,Software Development,100 to 499 employees
55-64,Master’s degree,40,UK and Northern Ireland,GBP	Pound sterling,C;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Energy,100 to 499 employees
25-34,Master’s degree,8,Ukraine,UAH	Ukrainian hryvnia,HTML/CSS;JavaScript,Manufacturing,10 to 19 employees
18-24,Bachelor’s degree,6,Philippines,PHP	Philippine peso,Bash/Shell (all shells);Groovy;Java;JavaScript;PowerShell,Banking/Financial Services,"1,000 to 4,999 employees"
18-24,Bachelor’s degree,5,India,INR	Indian rupee,Bash/Shell (all shells);C++;Dart;Java;JavaScript;Kotlin,Software Development,20 to 99 employees
35-44,Master’s degree,20,Ukraine,UAH	Ukrainian hryvnia,Bash/Shell (all shells);C;Go;Java;Python;SQL,"Internet, Telecomm or Information Services","10,000 or more employees"
18-24,Attended college but no degree,5,USA,USD	United States dollar,C#;Dart;HTML/CSS;JavaScript;Python;SQL,Media & Advertising Services,10 to 19 employees
45-54,Master’s degree,26,Hungary,HUF	Hungarian forint,SQL,Software Development,"10,000 or more employees"
18-24,Attended college but no degree,10,Canada,CAD	Canadian dollar,Bash/Shell (all shells);C#;GDScript;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;SQL;TypeScript,Software Development,2 to 9 employees
55-64,Master’s degree,24,USA,USD	United States dollar,HTML/CSS;JavaScript;R;SQL,Government,20 to 99 employees
35-44,Professional degree,15,USA,USD	United States dollar,C#;C++;F#;Go;Python,Government,20 to 99 employees
35-44,Master’s degree,10,Canada,CAD	Canadian dollar,Groovy;Java;JavaScript;TypeScript,Software Development,"10,000 or more employees"
25-34,Master’s degree,2,Ukraine,UAH	Ukrainian hryvnia,Python;SQL,Software Development,20 to 99 employees
35-44,Master’s degree,23,Romania,EUR European Euro,Java,Software Development,500 to 999 employees
45-54,Professional degree,34,Germany,EUR European Euro,C#;Groovy;Java;JavaScript;PowerShell;Python;R;SQL,Manufacturing,100 to 499 employees
45-54,Bachelor’s degree,30,Italy,EUR European Euro,C;C#;Java;Kotlin;Objective-C;Swift,Software Development,2 to 9 employees
35-44,Bachelor’s degree,16,Republic of Moldova,MDL	Moldovan leu,C++;Go;JavaScript;PHP;Ruby;TypeScript,Software Development,Self-employed
25-34,Bachelor’s degree,9,Sri Lanka,LKR	Sri Lankan rupee,Delphi;Groovy;HTML/CSS;Java;JavaScript,Healthcare,100 to 499 employees
25-34,Bachelor’s degree,7,USA,USD	United States dollar,Bash/Shell (all shells);C#;Crystal;HTML/CSS;JavaScript;PowerShell;SQL;VBA;Visual Basic (.Net),Manufacturing,"1,000 to 4,999 employees"
25-34,Bachelor’s degree,9,Israel,ILS	Israeli new shekel,Groovy;Java;PowerShell;Python;Scala;SQL,"Internet, Telecomm or Information Services","10,000 or more employees"
25-34,Master’s degree,10,Russian Federation,RUB	Russian ruble,HTML/CSS;JavaScript;PHP;Python;SQL,Software Development,100 to 499 employees
25-34,Bachelor’s degree,15,UK and Northern Ireland,GBP	Pound sterling,C#;F#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net),Energy,20 to 99 employees
18-24,Attended college but no degree,3,Viet Nam,VND	Vietnamese dong,C#;C++;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Software Development,20 to 99 employees
25-34,Bachelor’s degree,9,Peru,USD	United States dollar,JavaScript;Python;R;Scala;SQL;TypeScript,Media & Advertising Services,20 to 99 employees
25-34,Attended college but no degree,9,Finland,EUR European Euro,Swift,Media & Advertising Services,"1,000 to 4,999 employees"
35-44,Master’s degree,15,USA,USD	United States dollar,Bash/Shell (all shells);Dart;Groovy;Haskell;SQL,Software Development,"10,000 or more employees"
25-34,Bachelor’s degree,9,Canada,CAD	Canadian dollar,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL;Visual Basic (.Net),Software Development,10 to 19 employees
25-34,Bachelor’s degree,7,Armenia,AMD	Armenian dram,HTML/CSS;Java;JavaScript,Fintech,"5,000 to 9,999 employees"
35-44,Master’s degree,17,Italy,EUR European Euro,HTML/CSS;JavaScript;Python;SQL;TypeScript,"Transportation, or Supply Chain",100 to 499 employees
25-34,Attended college but no degree,14,Ireland,EUR European Euro,Bash/Shell (all shells);C;Python,Government,100 to 499 employees
18-24,Bachelor’s degree,4,India,INR	Indian rupee,C++;HTML/CSS;Java;Kotlin;Python,Software Development,2 to 9 employees
18-24,Attended college but no degree,5,Poland,PLN	Polish zloty,C++;Dart;HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL,Software Development,10 to 19 employees
25-34,Master’s degree,7,Poland,PLN	Polish zloty,Bash/Shell (all shells);C;Go;Python;SQL;Zig,Computer Systems Design and Services,"5,000 to 9,999 employees"
45-54,Attended college but no degree,26,Italy,EUR European Euro,Bash/Shell (all shells);C#;PowerShell,"Internet, Telecomm or Information Services",100 to 499 employees
25-34,Bachelor’s degree,16,Switzerland,CHF	Swiss franc,C#;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,Manufacturing,100 to 499 employees
25-34,Master’s degree,14,France,EUR European Euro,C#;GDScript;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Software Development,20 to 99 employees
35-44,Bachelor’s degree,15,Switzerland,CHF	Swiss franc,GDScript;HTML/CSS;JavaScript;Python,"Internet, Telecomm or Information Services",20 to 99 employees
35-44,Bachelor’s degree,19,Austria,EUR European Euro,C#;Java;TypeScript,Software Development,"1,000 to 4,999 employees"
45-54,Master’s degree,15,Guatemala,USD	United States dollar,PowerShell;SQL;VBA,Government,"10,000 or more employees"
35-44,Master’s degree,23,Germany,EUR European Euro,Bash/Shell (all shells);Kotlin;PHP,Retail and Consumer Services,500 to 999 employees
18-24,Secondary school,7,Taiwan,USD	United States dollar,Bash/Shell (all shells);C;HTML/CSS;Java;PHP;PowerShell;Python;SQL,"Internet, Telecomm or Information Services",2 to 9 employees
18-24,Bachelor’s degree,5,Egypt,USD	United States dollar,Dart;JavaScript;Kotlin;Ruby;SQL;TypeScript,Software Development,20 to 99 employees
18-24,Bachelor’s degree,7,Germany,EUR European Euro,C#;Python;SQL,Manufacturing,20 to 99 employees
25-34,Bachelor’s degree,13,Denmark,DKK	Danish krone,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Software Development,2 to 9 employees
18-24,Bachelor’s degree,6,Ukraine,USD	United States dollar,Dart;Go;HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,Software Development,20 to 99 employees
25-34,Master’s degree,8,Czech Republic,CZK	Czech koruna,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;Lua;Python;Rust;TypeScript,Media & Advertising Services,100 to 499 employees
55-64,Bachelor’s degree,10,USA,USD	United States dollar,C#;HTML/CSS;JavaScript;SQL,Software Development,"10,000 or more employees"
18-24,Bachelor’s degree,7,USA,USD	United States dollar,Bash/Shell (all shells),Manufacturing,"10,000 or more employees"
18-24,Attended college but no degree,6,France,EUR European Euro,C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Healthcare,20 to 99 employees
25-34,Bachelor’s degree,6,India,INR	Indian rupee,C++;HTML/CSS;JavaScript;PHP;Python;SQL,Software Development,10 to 19 employees
18-24,Bachelor’s degree,4,USA,USD	United States dollar,Bash/Shell (all shells);C;C#;C++;Java;Python;TypeScript,Banking/Financial Services,"10,000 or more employees"
18-24,Master’s degree,10,Ukraine,UAH	Ukrainian hryvnia,C#;C++;Java;JavaScript;SQL,Retail and Consumer Services,"1,000 to 4,999 employees"
45-54,Attended college but no degree,26,Italy,EUR European Euro,Java;Python;Rust,Computer Systems Design and Services,20 to 99 employees
25-34,Bachelor’s degree,11,USA,USD	United States dollar,Bash/Shell (all shells);C#;Python;SQL,Healthcare,"10,000 or more employees"
18-24,Bachelor’s degree,4,Lithuania,EUR European Euro,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;Rust,Software Development,20 to 99 employees
35-44,Attended college but no degree,26,USA,USD	United States dollar,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA;Visual Basic (.Net),Retail and Consumer Services,2 to 9 employees
18-24,Secondary school,5,USA,USD	United States dollar,C#;HTML/CSS;Java;Kotlin;PowerShell;Rust;TypeScript,Software Development,10 to 19 employees
35-44,Professional degree,5,USA,USD	United States dollar,R,Healthcare,500 to 999 employees
